model,source_material_index,target_E_Pa,target_E_MPa,poisson_ratio,substeps,compensation_scale,compensated_E_Pa,compensated_E_MPa,initial_relMSE,initial_relMSE_pct,final_relMSE,final_relMSE_pct,capacity_class,lookup_allowed,classification_reason,source_path,source_sha256,source_row
beam30x5x5,0,5000000,5,0.4,15,1.9969,9984400,9.9844,0.22664,22.664,0.010637,1.0637,reliable,TRUE,,assets/experiments/beamDiffResol/results_30x5x5_recalc.csv,b6b3e3eef399bf578d46f9ca060a3fe3e7144f02a738f4b678c4352e1b7b7ce9,2
beam30x5x5,0,5000000,5,0.4,20,1.4341,7170300,7.1703,0.14983,14.983,0.0064284,0.64284,reliable,TRUE,,assets/experiments/beamDiffResol/results_30x5x5_recalc.csv,b6b3e3eef399bf578d46f9ca060a3fe3e7144f02a738f4b678c4352e1b7b7ce9,3
beam30x5x5,0,5000000,5,0.4,25,1.2522,6261100,6.2611,0.10474,10.474,0.0042897,0.42897,reliable,TRUE,,assets/experiments/beamDiffResol/results_30x5x5_recalc.csv,b6b3e3eef399bf578d46f9ca060a3fe3e7144f02a738f4b678c4352e1b7b7ce9,4
beam30x5x5,0,5000000,5,0.4,30,1.1667,5833300,5.8333,0.076619,7.6619,0.0030574,0.30574,reliable,TRUE,,assets/experiments/beamDiffResol/results_30x5x5_recalc.csv,b6b3e3eef399bf578d46f9ca060a3fe3e7144f02a738f4b678c4352e1b7b7ce9,5
beam30x5x5,0,5000000,5,0.4,35,1.1189,5594300,5.5943,0.05812,5.812,0.0022823,0.22823,reliable,TRUE,,assets/experiments/beamDiffResol/results_30x5x5_recalc.csv,b6b3e3eef399bf578d46f9ca060a3fe3e7144f02a738f4b678c4352e1b7b7ce9,6
beam30x5x5,0,5000000,5,0.4,40,1.0894,5446900,5.4469,0.045393,4.5393,0.0017683,0.17683,reliable,TRUE,,assets/experiments/beamDiffResol/results_30x5x5_recalc.csv,b6b3e3eef399bf578d46f9ca060a3fe3e7144f02a738f4b678c4352e1b7b7ce9,7
beam30x5x5,0,8000000,8,0.4,15,3.7394,29915000,29.915,0.45798,45.798,0.015209,1.5209,reliable,TRUE,,assets/experiments/beamDiffResol/results_30x5x5_recalc.csv,b6b3e3eef399bf578d46f9ca060a3fe3e7144f02a738f4b678c4352e1b7b7ce9,8
beam30x5x5,0,8000000,8,0.4,20,1.8542,14833000,14.833,0.30986,30.986,0.0092193,0.92193,reliable,TRUE,,assets/experiments/beamDiffResol/results_30x5x5_recalc.csv,b6b3e3eef399bf578d46f9ca060a3fe3e7144f02a738f4b678c4352e1b7b7ce9,9
beam30x5x5,0,8000000,8,0.4,25,1.4535,11628000,11.628,0.22003,22.003,0.0062501,0.62501,reliable,TRUE,,assets/experiments/beamDiffResol/results_30x5x5_recalc.csv,b6b3e3eef399bf578d46f9ca060a3fe3e7144f02a738f4b678c4352e1b7b7ce9,10
beam30x5x5,0,8000000,8,0.4,30,1.2903,10322000,10.322,0.16274,16.274,0.0044843,0.44843,reliable,TRUE,,assets/experiments/beamDiffResol/results_30x5x5_recalc.csv,b6b3e3eef399bf578d46f9ca060a3fe3e7144f02a738f4b678c4352e1b7b7ce9,11
beam30x5x5,0,8000000,8,0.4,35,1.2017,9613400,9.6134,0.12445,12.445,0.0033902,0.33902,reliable,TRUE,,assets/experiments/beamDiffResol/results_30x5x5_recalc.csv,b6b3e3eef399bf578d46f9ca060a3fe3e7144f02a738f4b678c4352e1b7b7ce9,12
beam30x5x5,0,8000000,8,0.4,40,1.1501,9200600,9.2006,0.097799,9.7799,0.0026309,0.26309,reliable,TRUE,,assets/experiments/beamDiffResol/results_30x5x5_recalc.csv,b6b3e3eef399bf578d46f9ca060a3fe3e7144f02a738f4b678c4352e1b7b7ce9,13
beam30x5x5,0,10000000,10,0.4,15,7.5118,75118000,75.118,0.62762,62.762,0.01805,1.805,reliable,TRUE,,assets/experiments/beamDiffResol/results_30x5x5_recalc.csv,b6b3e3eef399bf578d46f9ca060a3fe3e7144f02a738f4b678c4352e1b7b7ce9,14
beam30x5x5,0,10000000,10,0.4,20,2.2518,22518000,22.518,0.42739,42.739,0.010967,1.0967,reliable,TRUE,,assets/experiments/beamDiffResol/results_30x5x5_recalc.csv,b6b3e3eef399bf578d46f9ca060a3fe3e7144f02a738f4b678c4352e1b7b7ce9,15
beam30x5x5,0,10000000,10,0.4,25,1.6186,16186000,16.186,0.30469,30.469,0.0074396,0.74396,reliable,TRUE,,assets/experiments/beamDiffResol/results_30x5x5_recalc.csv,b6b3e3eef399bf578d46f9ca060a3fe3e7144f02a738f4b678c4352e1b7b7ce9,16
beam30x5x5,0,10000000,10,0.4,30,1.3801,13801000,13.801,0.22601,22.601,0.0053872,0.53872,reliable,TRUE,,assets/experiments/beamDiffResol/results_30x5x5_recalc.csv,b6b3e3eef399bf578d46f9ca060a3fe3e7144f02a738f4b678c4352e1b7b7ce9,17
beam30x5x5,0,10000000,10,0.4,35,1.2621,12621000,12.621,0.1732,17.32,0.0040628,0.40628,reliable,TRUE,,assets/experiments/beamDiffResol/results_30x5x5_recalc.csv,b6b3e3eef399bf578d46f9ca060a3fe3e7144f02a738f4b678c4352e1b7b7ce9,18
beam30x5x5,0,10000000,10,0.4,40,1.1921,11921000,11.921,0.13634,13.634,0.0031907,0.31907,reliable,TRUE,,assets/experiments/beamDiffResol/results_30x5x5_recalc.csv,b6b3e3eef399bf578d46f9ca060a3fe3e7144f02a738f4b678c4352e1b7b7ce9,19
beam30x5x5,0,12000000,12,0.4,15,83.75,1005000000,1005,0.80201,80.201,0.020798,2.0798,reliable,TRUE,,assets/experiments/beamDiffResol/results_30x5x5_recalc.csv,b6b3e3eef399bf578d46f9ca060a3fe3e7144f02a738f4b678c4352e1b7b7ce9,20
beam30x5x5,0,12000000,12,0.4,20,2.8069,33683000,33.683,0.5473,54.73,0.012606,1.2606,reliable,TRUE,,assets/experiments/beamDiffResol/results_30x5x5_recalc.csv,b6b3e3eef399bf578d46f9ca060a3fe3e7144f02a738f4b678c4352e1b7b7ce9,21
beam30x5x5,0,12000000,12,0.4,25,1.8072,21686000,21.686,0.39051,39.051,0.0085259,0.85259,reliable,TRUE,,assets/experiments/beamDiffResol/results_30x5x5_recalc.csv,b6b3e3eef399bf578d46f9ca060a3fe3e7144f02a738f4b678c4352e1b7b7ce9,22
beam30x5x5,0,12000000,12,0.4,30,1.4831,17798000,17.798,0.28983,28.983,0.0062059,0.62059,reliable,TRUE,,assets/experiments/beamDiffResol/results_30x5x5_recalc.csv,b6b3e3eef399bf578d46f9ca060a3fe3e7144f02a738f4b678c4352e1b7b7ce9,23
beam30x5x5,0,12000000,12,0.4,35,1.3259,15911000,15.911,0.22224,22.224,0.0046891,0.46891,reliable,TRUE,,assets/experiments/beamDiffResol/results_30x5x5_recalc.csv,b6b3e3eef399bf578d46f9ca060a3fe3e7144f02a738f4b678c4352e1b7b7ce9,24
beam30x5x5,0,12000000,12,0.4,40,1.2368,14841000,14.841,0.17502,17.502,0.0036901,0.36901,reliable,TRUE,,assets/experiments/beamDiffResol/results_30x5x5_recalc.csv,b6b3e3eef399bf578d46f9ca060a3fe3e7144f02a738f4b678c4352e1b7b7ce9,25
