model,source_material_index,target_E_Pa,target_E_MPa,poisson_ratio,substeps,compensation_scale,compensated_E_Pa,compensated_E_MPa,initial_relMSE,initial_relMSE_pct,final_relMSE,final_relMSE_pct,capacity_class,lookup_allowed,classification_reason,source_path,source_sha256,source_row
bunny3828,0,2000000,2,0.4,15,1.6675,3335000,3.335,0.33893,33.893,0.050313,5.0313,reliable,true,,assets/experiments/bunnyFit/rerun_20260822_ymax015_derivative_free/experiment_results.csv,fd3f8f69f555b3ab78959a0eb66609ca019636a16b0727d28ec835750bb8e861,2
bunny3828,0,2000000,2,0.4,17,1.4563,2912700,2.9127,0.25131,25.131,0.038316,3.8316,reliable,true,,assets/experiments/bunnyFit/rerun_20260822_ymax015_derivative_free/experiment_results.csv,fd3f8f69f555b3ab78959a0eb66609ca019636a16b0727d28ec835750bb8e861,3
bunny3828,0,2000000,2,0.4,20,1.2985,2597000,2.597,0.17428,17.428,0.027436,2.7436,reliable,true,,assets/experiments/bunnyFit/rerun_20260822_ymax015_derivative_free/experiment_results.csv,fd3f8f69f555b3ab78959a0eb66609ca019636a16b0727d28ec835750bb8e861,4
bunny3828,0,2000000,2,0.4,25,1.1735,2346900,2.3469,0.10788,10.788,0.017623,1.7623,reliable,true,,assets/experiments/bunnyFit/rerun_20260822_ymax015_derivative_free/experiment_results.csv,fd3f8f69f555b3ab78959a0eb66609ca019636a16b0727d28ec835750bb8e861,5
bunny3828,0,2000000,2,0.4,30,1.1158,2231600,2.2316,0.073691,7.3691,0.012322,1.2322,reliable,true,,assets/experiments/bunnyFit/rerun_20260822_ymax015_derivative_free/experiment_results.csv,fd3f8f69f555b3ab78959a0eb66609ca019636a16b0727d28ec835750bb8e861,6
bunny3828,0,2000000,2,0.4,40,1.0638,2127600,2.1276,0.04075,4.075,0.0070446,0.70446,reliable,true,,assets/experiments/bunnyFit/rerun_20260822_ymax015_derivative_free/experiment_results.csv,fd3f8f69f555b3ab78959a0eb66609ca019636a16b0727d28ec835750bb8e861,7
bunny3828,1,3000000,3,0.4,15,1.9247,5774000,5.774,0.31529,31.529,0.045728,4.5728,reliable,true,,assets/experiments/bunnyFit/rerun_20260822_ymax015_derivative_free/experiment_results.csv,fd3f8f69f555b3ab78959a0eb66609ca019636a16b0727d28ec835750bb8e861,8
bunny3828,1,3000000,3,0.4,17,1.6107,4832100,4.8321,0.23898,23.898,0.03521,3.521,reliable,true,,assets/experiments/bunnyFit/rerun_20260822_ymax015_derivative_free/experiment_results.csv,fd3f8f69f555b3ab78959a0eb66609ca019636a16b0727d28ec835750bb8e861,9
bunny3828,1,3000000,3,0.4,20,1.3858,4157300,4.1573,0.17067,17.067,0.025509,2.5509,reliable,true,,assets/experiments/bunnyFit/rerun_20260822_ymax015_derivative_free/experiment_results.csv,fd3f8f69f555b3ab78959a0eb66609ca019636a16b0727d28ec835750bb8e861,10
bunny3828,1,3000000,3,0.4,25,1.2203,3661000,3.661,0.10946,10.946,0.016587,1.6587,reliable,true,,assets/experiments/bunnyFit/rerun_20260822_ymax015_derivative_free/experiment_results.csv,fd3f8f69f555b3ab78959a0eb66609ca019636a16b0727d28ec835750bb8e861,11
bunny3828,1,3000000,3,0.4,30,1.1443,3432800,3.4328,0.076462,7.6462,0.01172,1.172,reliable,true,,assets/experiments/bunnyFit/rerun_20260822_ymax015_derivative_free/experiment_results.csv,fd3f8f69f555b3ab78959a0eb66609ca019636a16b0727d28ec835750bb8e861,12
bunny3828,1,3000000,3,0.4,40,1.0765,3229400,3.2294,0.043318,4.3318,0.0067921,0.67921,reliable,true,,assets/experiments/bunnyFit/rerun_20260822_ymax015_derivative_free/experiment_results.csv,fd3f8f69f555b3ab78959a0eb66609ca019636a16b0727d28ec835750bb8e861,13
bunny3828,2,4000000,4,0.4,15,2.3201,9280500,9.2805,0.33627,33.627,0.04199,4.199,reliable,true,,assets/experiments/bunnyFit/rerun_20260822_ymax015_derivative_free/experiment_results.csv,fd3f8f69f555b3ab78959a0eb66609ca019636a16b0727d28ec835750bb8e861,14
bunny3828,2,4000000,4,0.4,17,1.8189,7275500,7.2755,0.26565,26.565,0.033654,3.3654,reliable,true,,assets/experiments/bunnyFit/rerun_20260822_ymax015_derivative_free/experiment_results.csv,fd3f8f69f555b3ab78959a0eb66609ca019636a16b0727d28ec835750bb8e861,15
